9069.675371489357, 50435.40220755768, 2760.3837481995947
切点: 9019.94516182013, 50399.8851535609, 2569.94886399598
11492.026048947435, 51725.314300691185, 8433.213085674985
切点: 11378.1726511, 51578.6462114014, 8507.54931763946
16885.103237782667, 57216.1119669175, 9677.084294904018
切点: 16957.432835724754, 57113.291461580644, 9834.312142626348
27887.591261771682, 57515.46390323504, 5305.999425981357
切点: 27790.836541212433, 57512.61709073231, 5290.7082372506375
39698.51756977483, 57091.54745368668, 6520.017393486124
切点: 39724.844229953625, 57062.58870863342, 6323.812104643051
45690.587144116114, 61550.82909732104, 6557.749463294159
切点: 45591.7751823415, 61669.8984619136, 6431.02660574361
55899.811459068194, 64231.47219824999, 9697.949739259679
切点: 55909.66916731637, 64066.75164971019, 9811.986342146456
66709.70794019155, 64085.37672762257, 8633.958004226162
切点: 66726.2371168726, 64030.6571657957, 8825.61539613089
73067.84148001231, 65656.05727853673, 1615.7176721216508
切点: 72922.4909659759, 65748.7433586562, 1514.31491761549
80677.92340173735, 61842.9411415413, 4575.4632137024555
切点: 80615.3514453143, 61875.6011821751, 4762.59437630022
91639.53203259004, 56448.10084393884, 930.565062723777
切点: 91535.1784989141, 56331.3622768799, 806.136581376571
